dimension,n_points,dataset,method,support_error,volume_ratio,volume_true,volume_approx,membership_acc,runtime_ms,n_vertices,status
2,200,uniform_cube,Extents,0.0,1.0,3.7739945941610835,3.7739945941610835,1.0,15.500861220061779,11,ok
2,200,uniform_cube,MVEE,0.0,1.0,3.7566863012547786,3.7566863012547786,1.0,151.1552301235497,11,ok
2,200,uniform_cube,DeepHull-original,0.0,1.0,3.7779282970943346,3.7779282970943346,1.0,7259.914156980813,200,ok
2,200,uniform_cube,DeepHull-convex,0.0,1.0,3.7739945941610835,3.7739945941610835,1.0,9037.3942325823,200,ok
2,200,anisotropic_cond1,Extents,0.0,1.0,16.757928222846253,16.757928222846253,1.0,12.936764862388372,10,ok
2,200,anisotropic_cond1,MVEE,0.0,1.0,16.588517473052452,16.588517473052452,1.0,153.3147469162941,10,ok
2,200,anisotropic_cond1,DeepHull-original,0.0,1.0,16.41910672325865,16.41910672325865,1.0,6034.510117955506,200,ok
2,200,anisotropic_cond1,DeepHull-convex,0.0,1.0,16.538152115005648,16.538152115005648,1.0,8910.221979953349,200,ok
2,200,anisotropic_cond10,Extents,0.0,1.0,176.76646090087206,176.76646090087206,1.0,15.534826554358006,11,ok
2,200,anisotropic_cond10,MVEE,0.0,1.0,173.6057668852898,173.6057668852898,1.0,155.13406693935394,11,ok
2,200,anisotropic_cond10,DeepHull-original,0.0,1.0,174.86074833265332,174.86074833265332,1.0,5225.2323240973055,200,ok
2,200,anisotropic_cond10,DeepHull-convex,0.0,1.0,174.21001721179817,174.21001721179817,1.0,9132.257763296366,200,ok
2,200,anisotropic_cond100,Extents,0.0,0.9928112965340179,2391.9385571642265,2374.743620167924,0.9938,15.534625854343176,6,ok
2,200,anisotropic_cond100,MVEE,0.03660898838140225,0.9948836019442314,2400.5360256623776,2388.253927807876,0.9966,152.6939170435071,6,ok
2,200,anisotropic_cond100,DeepHull-original,0.0,1.0,2402.992445233278,2402.992445233278,1.0,5922.267429064959,200,ok
2,200,anisotropic_cond100,DeepHull-convex,0.0,1.0,2413.4322284096047,2413.4322284096047,1.0,8259.399599861354,200,ok
2,200,gaussian,Extents,0.0,1.0,6.092634240567108,6.092634240567108,1.0,13.372161891311407,10,ok
2,200,gaussian,MVEE,0.0,1.0,6.159678358757668,6.159678358757668,1.0,151.10449772328138,10,ok
2,200,gaussian,DeepHull-original,0.0,1.0,6.07252100510994,6.07252100510994,1.0,6012.6012112014,200,ok
2,200,gaussian,DeepHull-convex,0.0,1.0,6.214989756264879,6.214989756264879,1.0,10413.183926139027,200,ok
2,500,uniform_cube,Extents,0.0,1.0,3.880454060172643,3.880454060172643,1.0,52.165410947054625,19,ok
2,500,uniform_cube,MVEE,0.0,1.0,3.8868154602712868,3.8868154602712868,1.0,403.2218009233475,19,ok
2,500,uniform_cube,DeepHull-original,0.002769950541007593,0.9989730950913944,3.871707135037008,3.8677312599753555,1.0,11709.15297139436,232,ok
2,500,uniform_cube,DeepHull-convex,0.0,1.0,3.877273360123321,3.877273360123321,1.0,18327.512965071946,500,ok
2,500,anisotropic_cond1,Extents,0.0,1.0,26.549115629547025,26.549115629547025,1.0,22.795614786446095,10,ok
2,500,anisotropic_cond1,MVEE,0.0,1.0,26.76944024058061,26.76944024058061,1.0,689.8980317637324,10,ok
2,500,anisotropic_cond1,DeepHull-original,0.0,1.0,27.37166084407241,27.37166084407241,1.0,12231.271133292466,173,ok
2,500,anisotropic_cond1,DeepHull-convex,0.0,1.0,26.92366746830412,26.92366746830412,1.0,20503.81128489971,500,ok
